AÑO,TITULO,FECHA_ELECCIONES,DISTRITO,SECCION,MESA,PARTIDO,NUM_VOTOS,PORCENTAJE
"2023","Elecciones Generales","23/07/23","1","1","A","Electores","438","100"
"2023","Elecciones Generales","23/07/23","1","1","A","Abstenciones","95","21,68949771689497716894977168949771689498"
"2023","Elecciones Generales","23/07/23","1","1","A","Votantes","343","78,31050228310502283105022831050228310502"
"2023","Elecciones Generales","23/07/23","1","1","A","Blancos","6","1,74927113702623906705539358600583090379"
"2023","Elecciones Generales","23/07/23","1","1","A","Validos","343","100"
"2023","Elecciones Generales","23/07/23","1","1","A","Nulos","0","0"
"2023","Elecciones Generales","23/07/23","1","1","A","PSOE","80","23,3236151603498542274052478134110787172"
"2023","Elecciones Generales","23/07/23","1","1","A","FO","1",",291545189504373177842565597667638483965"
"2023","Elecciones Generales","23/07/23","1","1","A","PP","171","49,85422740524781341107871720116618075802"
"2023","Elecciones Generales","23/07/23","1","1","A","PACMA","0","0"
"2023","Elecciones Generales","23/07/23","1","1","A","PCTE","0","0"
"2023","Elecciones Generales","23/07/23","1","1","A","PUM J","0","0"
"2023","Elecciones Generales","23/07/23","1","1","A","VOX","43","12,5364431486880466472303206997084548105"
"2023","Elecciones Generales","23/07/23","1","1","A","PUEDE","0","0"
"2023","Elecciones Generales","23/07/23","1","1","A","AEEV","0","0"
"2023","Elecciones Generales","23/07/23","1","1","A","RC","0","0"
"2023","Elecciones Generales","23/07/23","1","1","A","SUMAR","42","12,24489795918367346938775510204081632653"
"2023","Elecciones Generales","23/07/23","1","1","B","Electores","497","100"
"2023","Elecciones Generales","23/07/23","1","1","B","Abstenciones","90","18,10865191146881287726358148893360160966"
"2023","Elecciones Generales","23/07/23","1","1","B","Votantes","407","81,89134808853118712273641851106639839034"
"2023","Elecciones Generales","23/07/23","1","1","B","Blancos","1",",2457002457002457002457002457002457002457"
"2023","Elecciones Generales","23/07/23","1","1","B","Validos","407","100"
"2023","Elecciones Generales","23/07/23","1","1","B","Nulos","0","0"
"2023","Elecciones Generales","23/07/23","1","1","B","PSOE","94","23,0958230958230958230958230958230958231"
"2023","Elecciones Generales","23/07/23","1","1","B","FO","0","0"
"2023","Elecciones Generales","23/07/23","1","1","B","PP","197","48,4029484029484029484029484029484029484"
"2023","Elecciones Generales","23/07/23","1","1","B","PACMA","1",",2457002457002457002457002457002457002457"
"2023","Elecciones Generales","23/07/23","1","1","B","PCTE","1",",2457002457002457002457002457002457002457"
"2023","Elecciones Generales","23/07/23","1","1","B","PUM J","0","0"
"2023","Elecciones Generales","23/07/23","1","1","B","VOX","46","11,3022113022113022113022113022113022113"
"2023","Elecciones Generales","23/07/23","1","1","B","PUEDE","0","0"
"2023","Elecciones Generales","23/07/23","1","1","B","AEEV","3",",7371007371007371007371007371007371007371"
"2023","Elecciones Generales","23/07/23","1","1","B","RC","0","0"
"2023","Elecciones Generales","23/07/23","1","1","B","SUMAR","64","15,72481572481572481572481572481572481572"
"2023","Elecciones Generales","23/07/23","1","2","U","Electores","747","100"
"2023","Elecciones Generales","23/07/23","1","2","U","Abstenciones","160","21,41900937081659973226238286479250334672"
"2023","Elecciones Generales","23/07/23","1","2","U","Votantes","587","78,58099062918340026773761713520749665328"
"2023","Elecciones Generales","23/07/23","1","2","U","Blancos","8","1,36286201022146507666098807495741056218"
"2023","Elecciones Generales","23/07/23","1","2","U","Validos","584","99,48892674616695059625212947189097103918"
"2023","Elecciones Generales","23/07/23","1","2","U","Nulos","3",",5110732538330494037478705281090289608177"
"2023","Elecciones Generales","23/07/23","1","2","U","PSOE","117","19,93185689948892674616695059625212947189"
"2023","Elecciones Generales","23/07/23","1","2","U","FO","0","0"
"2023","Elecciones Generales","23/07/23","1","2","U","PP","294","50,08517887563884156729131175468483816014"
"2023","Elecciones Generales","23/07/23","1","2","U","PACMA","2",",3407155025553662691652470187393526405451"
"2023","Elecciones Generales","23/07/23","1","2","U","PCTE","1",",1703577512776831345826235093696763202726"
"2023","Elecciones Generales","23/07/23","1","2","U","PUM J","0","0"
"2023","Elecciones Generales","23/07/23","1","2","U","VOX","95","16,18398637137989778534923339011925042589"
"2023","Elecciones Generales","23/07/23","1","2","U","PUEDE","0","0"
"2023","Elecciones Generales","23/07/23","1","2","U","AEEV","2",",3407155025553662691652470187393526405451"
"2023","Elecciones Generales","23/07/23","1","2","U","RC","0","0"
"2023","Elecciones Generales","23/07/23","1","2","U","SUMAR","65","11,07325383304940374787052810902896081772"
"2023","Elecciones Generales","23/07/23","1","3","A","Electores","621","100"
"2023","Elecciones Generales","23/07/23","1","3","A","Abstenciones","143","23,02737520128824476650563607085346215781"
"2023","Elecciones Generales","23/07/23","1","3","A","Votantes","478","76,97262479871175523349436392914653784219"
"2023","Elecciones Generales","23/07/23","1","3","A","Blancos","7","1,46443514644351464435146443514644351464"
"2023","Elecciones Generales","23/07/23","1","3","A","Validos","474","99,16317991631799163179916317991631799163"
"2023","Elecciones Generales","23/07/23","1","3","A","Nulos","4",",8368200836820083682008368200836820083682"
"2023","Elecciones Generales","23/07/23","1","3","A","PSOE","137","28,66108786610878661087866108786610878661"
"2023","Elecciones Generales","23/07/23","1","3","A","FO","1",",2092050209205020920502092050209205020921"
"2023","Elecciones Generales","23/07/23","1","3","A","PP","181","37,86610878661087866108786610878661087866"
"2023","Elecciones Generales","23/07/23","1","3","A","PACMA","2",",4184100418410041841004184100418410041841"
"2023","Elecciones Generales","23/07/23","1","3","A","PCTE","1",",2092050209205020920502092050209205020921"
"2023","Elecciones Generales","23/07/23","1","3","A","PUM J","1",",2092050209205020920502092050209205020921"
"2023","Elecciones Generales","23/07/23","1","3","A","VOX","55","11,50627615062761506276150627615062761506"
"2023","Elecciones Generales","23/07/23","1","3","A","PUEDE","0","0"
"2023","Elecciones Generales","23/07/23","1","3","A","AEEV","1",",2092050209205020920502092050209205020921"
"2023","Elecciones Generales","23/07/23","1","3","A","RC","1",",2092050209205020920502092050209205020921"
"2023","Elecciones Generales","23/07/23","1","3","A","SUMAR","87","18,20083682008368200836820083682008368201"
"2023","Elecciones Generales","23/07/23","1","3","B","Electores","651","100"
"2023","Elecciones Generales","23/07/23","1","3","B","Abstenciones","143","21,96620583717357910906298003072196620584"
"2023","Elecciones Generales","23/07/23","1","3","B","Votantes","508","78,03379416282642089093701996927803379416"
"2023","Elecciones Generales","23/07/23","1","3","B","Blancos","6","1,18110236220472440944881889763779527559"
"2023","Elecciones Generales","23/07/23","1","3","B","Validos","498","98,03149606299212598425196850393700787402"
"2023","Elecciones Generales","23/07/23","1","3","B","Nulos","10","1,96850393700787401574803149606299212598"
"2023","Elecciones Generales","23/07/23","1","3","B","PSOE","136","26,77165354330708661417322834645669291339"
"2023","Elecciones Generales","23/07/23","1","3","B","FO","1",",1968503937007874015748031496062992125984"
"2023","Elecciones Generales","23/07/23","1","3","B","PP","170","33,46456692913385826771653543307086614173"
"2023","Elecciones Generales","23/07/23","1","3","B","PACMA","1",",1968503937007874015748031496062992125984"
"2023","Elecciones Generales","23/07/23","1","3","B","PCTE","1",",1968503937007874015748031496062992125984"
"2023","Elecciones Generales","23/07/23","1","3","B","PUM J","1",",1968503937007874015748031496062992125984"
"2023","Elecciones Generales","23/07/23","1","3","B","VOX","90","17,71653543307086614173228346456692913386"
"2023","Elecciones Generales","23/07/23","1","3","B","PUEDE","0","0"
"2023","Elecciones Generales","23/07/23","1","3","B","AEEV","4",",7874015748031496062992125984251968503937"
"2023","Elecciones Generales","23/07/23","1","3","B","RC","1",",1968503937007874015748031496062992125984"
"2023","Elecciones Generales","23/07/23","1","3","B","SUMAR","87","17,12598425196850393700787401574803149606"
"2023","Elecciones Generales","23/07/23","1","4","U","Electores","819","100"
"2023","Elecciones Generales","23/07/23","1","4","U","Abstenciones","166","20,26862026862026862026862026862026862027"
